order	vincode	pts_ref	gender	bu-bni-corr	pali_name	english_name	offence_type_pali	offence_type_eng	severity	chapter_theme	chapter	vagga	rule_theme	rule_topic	purpose	critics	rule_pali	rule_english	no_offense_factors	offense_factors_bmc	notes	formulas	sangha_acts	useful_texts	suttacentral
255.0	BNI-NP21	Vin.4.243-4.257	Nuns	BU-NP18	Rūpiya	Money	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Gold and Silver	Jātaruparajata	Properties	Money	Self restraint	Laity	Pattachidda: Yā pana bhikkhunī atirekapattaṃ dhāreyya, dasāhaparamaṃ nissaggiyaṃ pācittiyaṃ.	21. Extra Bowl: Should any bhikkhunī keep an extra bowl for more than ten days, it is to be forfeited and confessed.	Finding gold or money lying around the monastery or in a house he is visiting, puts it away in safe keeping for the owner	1) Object: gold or silver intended for one.. Or whatever is used as a currency = (1) They are a generally accepted medium of exchange; (2) they are of standard recognized value; and (3) they are presentable by any bearer 2) Effort: One accepts, having it accepted, or consenting to its being deposited	By accepting money,one is accepting all the cares, responsibilities, and dangers that come with its ownership. Relinquish to Sangha and not to be returned or benefit the offender, but used by Sangha through lay follower or thrown away by a selected bhikkhu . Whether the bhikkhu accepts gold or money for himself or for others is thus not an issue here. Anything that falls short of a command, though, would not fulfill this factor. It can be refuse either in thought, word, or deed. if the donor does not mention the name of the bhikkhu or the Community as custodians or recipients of the funds, the donations are not to be refused. Rather, they are to be left there and the steward told of what the donor said	Ahaṁ bhante rūpiyaṁ paṭiggahesiṁ. Idaṁ me nissaggiyaṁ. Imāhaṁ saṅghassa nissajjāmi. This means, “Venerable sirs, I have received money. This of mine is to be forfeited. I forfeit it to the Community.”		SN42.10, AN4.50, Bu Np 10, 18, 19, 20 BU-PC84,	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
256.0	BNI-NP22	Vin.4.243-4.257	Nuns	BU-NP19	Rūpiyasaṁvohāra	Trading With Money	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Gold and Silver	Jātaruparajata	Properties	Money	Self restraint	Laity	Ūnapañcabandhana: Yā pana bhikkhunī ūnapañcabandhanena pattena aññaṃ navaṃ pattaṃ cetāpeyya, nissaggiyaṃ pācittiyaṃ.	22. New Bowl: Should any bhikkhunī ask for a new bowl when her old one is mended in less than five places... it is to be forfeited and confessed.	If he is mad, if he is the first wrong-doer	1) Object, money is any type of items used as currency. 2) Effort here includes any exchange in which the bhikkhu ends up with gold or money as a result of the exchange	By arranging a trade, one is accepting responsibility for the fairness of the trade. Relinquish to Sangha and not to be returned or benefit the offender, but used by Sangha through lay follower or thrown away by a selected bhikkhu. bhikkhu may not express a desire to his steward that he/she sell something belonging to him or take funds dedicated for his use and invest them for monetary return. Money obtained improperly, the object bought with the money is unallowable for all bhikkhus. But if obtained obtained properly under the preceding rule, the item bought is unallowable only for the bhikkhu buyer, and allowed to the rest	Ahaṁ bhante nānappakārakaṁ rūpiya-saṁvohāraṁ samāpajjiṁ. Idaṁ me nissaggiyaṁ. Imāhaṁ saṅghassa nissajjāmi. This means, “Venerable sirs, I have engaged in various types of monetary exchange. This of mine is to be forfeited. I forfeit it to the Community.”		SN42.10, AN4.50, Bu Np 10, 18, 19, 20 BU-PC84,	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
257.0	BNI-NP23	Vin.4.243-4.257	Nuns	BU-NP20	Kayavikkaya	Bartering	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Gold and Silver	Jātaruparajata	Properties	Trade	Self restraint	Ascetics	Bhesajjapaṭisevana: Yāni kho pana tāni gilānānaṃ bhikkhunīnaṃ paṭisāyanīyāni bhesajjāni... sattāhaparamaṃ sannidhikārakaṃ paribhuñjitabbāni... nissaggiyaṃ pācittiyaṃ.	23. Storing Medicine: Should any bhikkhunī store tonics (ghee, oil, honey, molasses) for more than seven days... it is to be forfeited and confessed.	"If he asks the price of an object; if he tells a steward; if he tells the seller, “I have this. I have need of such-and-such"", and then lets the seller arrange the exchange as he/she sees fit. if he is mad, if he is the first wrong-doer"	1 Object. All types of trade not covered in previous rule. 2 Effort. Engaging in trade by proposing and ones goods ending up with the other person, and the other person’s goods ending up with the bhikkhu	Any transaction in which the end product is other than gold or money, i.e. buying as well as bartering the forfeited article should be returned to the original offender not to return the article would be a dukkata. No exemptions for a bhikkhu who trades using goods belonging to someone else. The Vibhaṅga makes no mention of what the bhikkhu may and may not do with the article after receiving it in return, but commentary have protocols. Present rule thus covers trades made only with not one’s co-religionists. bhikkhus should not bargain, if he sees that the steward is getting a bad deal, he may simply tell the steward, “Don’t take it Checks, credit cards, debit cards, and traveler’s checks do not count as gold or money. However, any trade arranged with them would come under this rule	Ahaṁ bhante nānappakārakaṁ kaya-vikkayaṁ samāpajjiṁ. Idaṁ me nissaggiyaṁ. Imāhaṁ āyasmato nissajjāmi, which means, “Venerable sir, I have engaged in various types of trade. This of mine is to be forfeited. I forfeit it to you.” To return the article: Imaṁ āyasmato dammi, which means, “I give this to you.”		SN42.10, AN4.50, Bu Np 5 10, 18, 19, 20 BU-PC84, Misuse donations Mv 8 22.1; BMC2, Chapter 10	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
258.0	BNI-NP24	Vin.4.243-4.257	Nuns	BU-NP22	Ūnapañcabandhana	Bowl With Fewer Than 5 Mends	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Gold and Silver	Jātaruparajata	Requisites	Bowl	Easy to support	Laity	Vassikasāṭika: Yā pana bhikkhunī... vassikasāṭikaṃ pariyesitabbā... tato ce uttari... nissaggiyaṃ pācittiyaṃ.	24. Rains Bathing Cloth: Should any bhikkhunī have a rains bathing cloth made (outside the allowed time)... it is to be forfeited and confessed.	If the bowl is destroyed, if the bowl is broken, if they belong to relations, if they are invited, if it is for another, if it is by means of his own property; if he is mad, if he is the first wrong-doer	1) Effort: Before one’s alms bowl is beyond repair, one asks for 2) Object: a new almsbowl fit to be determined for use. 3) Result: One obtains the bowl	Relinquish to Sangha according to procedure. this rule allows a bhikkhu whose bowl is beyond repair to ask for a new one. Community chooses one of its members as bowl exchanger. If the new bowl is preferable to one's own and yet one do not take it out of sympathy for the offender, is a dukkaṭa, but for contentment with what he has, no offense	Ayaṁ me bhante patto ūna-pañca-bandhanena pattena cetāpito nissaggiyo. Imāhaṁ saṅghassa nissajjāmi. This means, “This bowl of mine, venerable sirs, asked for when the (previous) bowl had less than five mends, is to be forfeited. I forfeit it to the Community.”	Motion-1announcement	BU-PC21, wrong use of bowl BMC2, Chapter 3	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
259.0	BNI-NP25	Vin.4.243-4.257	Nuns	BU-NP23	Bhesajja	Tonics Five	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Gold and Silver	Jātaruparajata	Food	Tonics	Easy to support	Laity	Cīvara-acchindana: Yā pana bhikkhunī bhikkhussa vā bhikkhuniyā vā cīvaraṃ datvā... acchindeyya... nissaggiyaṃ pācittiyaṃ.	25. Snatching Robe (Anger): Should any bhikkhunī, having given a robe to another, snatch it back in anger... it is to be forfeited and confessed.	If within seven days the tonic gets lost, destroyed, burnt, snatched away, or taken on trust; or if the bhikkhu determines it for use, abandons it, or—having given it away to an unordained person, abandoning desire for it—he receives it in return and makes use of it if he is mad, if he is the first wrong-doer	1) Object: any of the five tonics. 2) Effort: One keeps the tonic past the seventh dawnrise after receiving it	Acquiring something that has been forfeited,it must not be made use of for bodily enjoyment nor consumed. any tonic received today may be eaten mixed with food or juice drinks received today, but not with food or juice drinks received on a later day. one may take the tonic at any time during those seven days regardless of whether one is ill	Idaṁ me bhante bhesajjaṁ sattāhātikkantaṁ nissaggiyaṁ. Imāhaṁ āyasmato nissajjāmi, which means, “This medicine of mine, venerable sir, kept beyond seven days, is to be forfeited. I forfeit it to		Mv 6 1.2-5, Mv 6 40.1-3, Mv 6 27, Bu Pj 37-38	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
260.0	BNI-NP26	Vin.4.243-4.257	Nuns	BU-NP25	Cīvaraacchindana	Robe-Cloth Taking Back	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Gold and Silver	Jātaruparajata	Requisites	Robes	Sangha harmony	Bhikkhus	Suttaviññāpana: Yā pana bhikkhunī attanā viññāpetvā suttaṃ tantavāyehi cīvaraṃ vāyāpeyya, nissaggiyaṃ pācittiyaṃ.	26. Asking for Yarn: Should any bhikkhunī ask for yarn and have a robe woven by weavers... it is to be forfeited and confessed.	If he gives it or takes (from him) in a friendly manner; if he is mad, if he is the first wrong-doer	1 Object: A piece of any of the six allowable kinds of robe-cloth, measuring at least four by eight fingerbreadths. 2 Effort: One has given the cloth to another bhikkhu on one condition or another and then either snatches it back or has someone else snatch it back. 3 Intention: One is impelled by anger or displeasure	This rule is for cases where one perceives the robe-cloth as being rightfully one’s own even after having given it away. But when not out of anger or annoyance, but ‘with the mind of a thief’ (theyya-citta) then is Pj 2. dukkaṭa for angrily snatching back from a bhikkhu requisites other than cloth; and for angrily snatching back any kind of requisite—cloth or otherwise—that one has given to someone who is not a bhikkhu	Idaṁ me bhante cīvaraṁ bhikkhussa sāmaṁ datvā acchinnaṁ nissaggiyaṁ. Imāhaṁ āyasmato nissajjāmi, which means, “This robe (robe-cloth) of mine, venerable sir, snatched back after I myself gave it to a bhikkhu, is to be forfeited. I forfeit it to you.”			https://suttacentral.net/pli-tv-bu-vb-np?view=normal
261.0	BNI-NP27	Vin.4.243-4.257	Nuns	BU-NP26	Suttaviññatti	Thread Asking	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Gold and Silver	Jātaruparajata	Requisites	Sewing	Easy to support	Laity	Mahāpesakāra: Yā pana bhikkhunī... tantavāyaṃ upasaṅkamitvā evaṃ vadeyya... nissaggiyaṃ pācittiyaṃ.	27. Instructing Weavers: Should any bhikkhunī instruct a weaver (paid by someone else) to make the robe better/wider/longer... it is to be forfeited and confessed.	Is no offence to sew a robe to a binding, to a belt, to a shoulder-strap, to a bag for carrying the bowl in, to a water-strainer; if it belongs to relations; if they are invited; if it is for another; if it is by means of his own property; if he is mad, if he is the first wrong-doer	1 Object: Thread or yarn of the six allowable types for robe-cloth that a bhikkhu has himself requested from others. 2 Effort: One gets weavers to weave robe-cloth using the thread. 3 Result: One obtains the cloth	This rule covers two actions—asking for thread and getting weavers to weave it into robe-cloth			Bu Np 11-15 and Pc 86-92: no offense for the request itself, but a dukkaṭa if the request successfully persuades the other person to act in line with it	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
262.0	BNI-NP28	Vin.4.243-4.257	Nuns	BU-NP27	Mahāpesakāra	Bribing Weavers	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Gold and Silver	Jātaruparajata	Requisites	Robes	Easy to support	Laity	Accekacīvara: Dasāhānāgataṃ kattikatemāsipuṇṇamaṃ... accekacīvaraṃ paṭiggahetabbaṃ... nissaggiyaṃ pācittiyaṃ.	28. Urgent Robe: Should any bhikkhunī accept an urgent robe (before the Rains) and keep it beyond the allowed time... it is to be forfeited and confessed.	If it belongs to relations; if they are invited; if it is for another; if it is by means of his own property; if desirous of having costly (robe-material) woven he has (robe-material) costing little woven; if he is mad, if he is the first wrong-doer	1 Object: A piece of any of the six allowable types of robe-cloth, measuring at least four by eight fingerbreadths, which is being made for one’s sake by the arrangement of a donor who is unrelated and has not given an invitation to ask. 2 Effort: One approaches the weavers and gets them to improve the cloth in any of the seven ways mentioned in the rule. 3 Result: One obtains the cloth	Whether or not a gift is offered to the weaver, the offences under this rule are still the same. (Some have objected that it should be all right for the bhikkhu to pay in full for the improvements in the robe, but remember that to do so would be an insult to the donors.)				https://suttacentral.net/pli-tv-bu-vb-np?view=normal
263.0	BNI-NP29	Vin.4.243-4.257	Nuns	BU-NP28	Accekacīvara	Robe in Urgency	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Gold and Silver	Jātaruparajata	Requisites	Robes	Easy to support	Laity	Sāsaṅka: Yā pana bhikkhunī... tīcīvarena vippavaseyya chārattaṃ paramaṃ... nissaggiyaṃ pācittiyaṃ.	29. Wilderness Separation: Should any bhikkhunī stay apart from her robes in a dangerous wilderness for more than six nights... it is to be forfeited and confessed.	If, within the season, it is allotted, assigned, bestowed, lost, destroyed, burnt, if they tear it (from him), if they take it on trust; if he is mad, if he is the first wrong-doer	1 Object: Robe-cloth offered in urgency is any piece of the six allowable kinds of robe-cloth, measuring at least four by eight fingerbreadths. The does not want to wait until the robe season to make an offering. 2 effort—one keeps it past the end of the robe season	The third-month Kattika full moon is the first full moon in October. This is the final day of the first Rains-residence, and the day before the beginning of the robe season. donor offers robe-material to a particular monk before the end of the Rains-Retreat, then it may be accepted by him, but in no circumstances does this count as an acceka-cīvara. An acceka-cīvara ia a Rains-Retreat gift given to the Sangha at a monastery within ten days of the end of the Rains-Retreat	Idaṁ me bhante acceka-cīvaraṁ cīvara-kāla-samayaṁ atikkāmitaṁ nissaggiyaṁ. Imāhaṁ āyasmato nissajjāmi, which means, “This robe-cloth-offered-in-urgency of mine, venerable sir, kept beyond the robe season, is to be forfeited. I forfeit it to you.”		Bu Np 1, Pc 32-33, 46, Bi Pc 29	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
264.0	BNI-NP30	Vin.4.243-4.257	Nuns	BU-NP30	Pariṇata	Offerings Intended for the Sangha	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing		Gold and Silver	Jātaruparajata	Properties	Sangha properties	Easy to support	Bhikkhus	Pariṇata: Yā pana bhikkhunī jānaṃ saṅghikaṃ lābhaṃ pariṇataṃ attano pariṇāmeyya, nissaggiyaṃ pācittiyaṃ.	30. Diverting Gains: Should any bhikkhunī knowingly divert gain (intended for the Community) to herself... it is to be forfeited and confessed.	If he himself being asked, ‘Where do we give?’ says, ‘Give wherever your gift would be used or could be mended or should be for a long time or when for you the mind is inspired; if he is mad, if he is the first wrong-doer	1 Object: Any requisite “robe-cloth, almsfood, lodgings, medicine, even a lump of powder, tooth wood, or unwoven thread”—that donors have indicated by word or gesture that they intend to give to a Community. 2 Perception. that the donors have allocated the requisite for a Community. 3 Effort. One tries to persuade them that they should give it to oneself instead. (The texts make no allowance for kappiya-vohāra here.) 4 Result. One obtains the article from the donors	Would then seem appropriate, although this is not stated in the Vinaya, that the offending monk should then present that gift to the Sangha where it was originally intended. the point of this rule that monks have no business telling donors where to give their gifts. any donor lay, fellow bhikkhus and relatives. The fact that a gift is allocated for a Community overrides all other considerations, even when one is ill. perceiving an item as not allocated does not give carte blanche to divert it as one likes	Idaṁ me bhante jānaṁ saṅghikaṁ lābhaṁ pariṇataṁ attano pariṇāmitaṁ nissaggiyaṁ. Imāhaṁ āyasmato nissajjāmi, which means, “This of mine, venerable sir, which—knowing it was intended for the Community—I diverted for myself, is to be forfeited. I forfeit it to you.”		Bu NP 6, 7, 22, 26; Pc 82 SN3.24	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
266.0	BNI-PC1	Vin.4.258-4.345	Nuns		Lasuṇa	Garlic	Pacittiya	Confession	Offense/ wrong doing		1 Garlic	1 Lasuṇavaggo	Food	Food receiving	Easy to support	Laity	Lasuṇa: Yā pana bhikkhunī lasuṇaṃ khādeyya, pācittiyaṃ.	1. Garlic: Should any bhikkhunī eat garlic, it is to be confessed.	If it is an onion; if it is a shallot; if it is chebulic myrobalan; if it is a spring onion; if it is cooked in a bean curry; if it is cooked with meat; if it is cooked with oil; if it is in sweets; if it is a special curry; if she is insane; if she is the first offender		Applicable to Bhikkhu as dukkata offences				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
267.0	BNI-PC2	Vin.4.258-4.345	Nuns		Sambādhaloma	Pubic Hair	Pacittiya	Confession	Offense/ wrong doing		1 Garlic	1 Lasuṇavaggo	Celibacy	Sex	Faith foster	Laity	Sambādhaloma: Yā pana bhikkhunī sambādhalomaṃ saṃhareyya, pācittiyaṃ.	2. Removing Hair: Should any bhikkhunī remove hair from a sensitive area (armpits/pubis)... it is to be confessed.	If she does it because she is sick; if she is insane; if she is the first offender		Applicable to Bhikkhu as dukkata offences				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
268.0	BNI-PC3	Vin.4.258-4.345	Nuns		Talaghātaka	Masturbation	Pacittiya	Confession	Offense/ wrong doing		1 Garlic	1 Lasuṇavaggo	Celibacy	Sex	Self restraint	Bhikkhunis	Talaghātaka: Yā pana bhikkhunī talaghātakaṃ dadeyya, pācittiyaṃ.	3. Slapping: Should any bhikkhunī slap herself with her palms... it is to be confessed.	If she does it because she is sick; if she is insane; if she is the first offender						https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
269.0	BNI-PC4	Vin.4.258-4.345	Nuns		Jatumaṭṭhaka	Dildos	Pacittiya	Confession	Offense/ wrong doing		1 Garlic	1 Lasuṇavaggo	Celibacy	Sex	Self restraint	Bhikkhunis	Jatumaṭṭhaka: Yā pana bhikkhunī jatumaṭṭhake āmasanaṃ vā parāmasanaṃ vā... pācittiyaṃ.	4. Wax Paddle: Should any bhikkhunī use a lac-paddle (dildo) for sexual stimulation... it is to be confessed.	If she does it because she is sick; if she is insane; if she is the first offender						https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
270.0	BNI-PC5	Vin.4.258-4.345	Nuns		Udakasuddhika	Douching	Pacittiya	Confession	Offense/ wrong doing		1 Garlic	1 Lasuṇavaggo	Celibacy	Sex	Self restraint	Bhikkhunis	Udakasuddhika: Yā pana bhikkhunī udakasuddhikaṃ ādiyeyya... pācittiyaṃ.	5. Washing (Water): Should any bhikkhunī wash deep inside her vagina... it is to be confessed.	If she inserts two finger joints; if she inserts less than two finger joints; if she does it because she is sick; if she is insane; if she is the first offender		I allow the nuns to clean themselves with water Is cleaning herself with water: rinsing the vagina is what is meant				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
271.0	BNI-PC6	Vin.4.258-4.345	Nuns		Upatiṭṭhana	Attending a Monk	Pacittiya	Confession	Offense/ wrong doing		1 Garlic	1 Lasuṇavaggo	Discipline	Food eating	Self restraint	Bhikkhunis	Upatiṭṭhana: Yā pana bhikkhunī bhikkhuṃ bhuñjantaṃ pānīyena vā vidhūpanena vā upatiṭṭheyya, pācittiyaṃ.	6. Hosting (Food): Should any bhikkhunī stand and serve water/fans to a monk while he is eating... it is to be confessed.	If she gives something; if she has someone else give something; if she asks someone who is not fully ordained to do it; if she is insane; if she is the first offender						https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
272.0	BNI-PC7	Vin.4.258-4.345	Nuns		Āmakadhañña	Raw Grain	Pacittiya	Confession	Offense/ wrong doing		1 Garlic	1 Lasuṇavaggo	Food	Food receiving	Self restraint	Bhikkhunis	Āmakadhañña: Yā pana bhikkhunī āmakadhaññaṃ viññāpetvā vā viññāpāpetvā vā bhajjitvā vā bhajjāpetvā vā koṭṭetvā vā koṭṭāpetvā vā pacitvā vā pacāpetvā vā khādeyya, pācittiyaṃ.	7. Raw Grain: Should any bhikkhunī ask for and eat raw grain... it is to be confessed.	If she does it because she is sick; if she asks for vegetables; if she is insane; if she is the first offender		Applicable to Bhikkhu as dukkata offences. If she receives it with the intention of eating it, she commits an offense of wrong conduct				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
273.0	BNI-PC8	Vin.4.258-4.345	Nuns		Tirokuṭṭuccārachaḍḍana	Disposing Feces	Pacittiya	Confession	Offense/ wrong doing		1 Garlic	1 Lasuṇavaggo	Discipline	Improper	Self restraint	Laity	Uccāra: Yā pana bhikkhunī uccāraṃ vā passāvaṃ vā saṅkāraṃ vā vighāsaṃ vā tirokuṭṭe vā tiropākāre vā chaḍḍeyya vā chaḍḍāpeyya vā, pācittiyaṃ.	8. Throwing Waste (Wall): Should any bhikkhunī throw feces/urine/trash over a wall or fence... it is to be confessed.	If she disposes of it after having looked; if she disposes of it at a place where no one passes by; if she is insane; if she is the first offender		Applicable to Bhikkhu as dukkata offences				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
274.0	BNI-PC9	Vin.4.258-4.345	Nuns		Harituccārachaḍḍana	Disposing Feces on Plants	Pacittiya	Confession	Offense/ wrong doing		1 Garlic	1 Lasuṇavaggo	Discipline	Improper	Self restraint	Laity	Harita: Yā pana bhikkhunī uccāraṃ vā passāvaṃ vā... harite chaḍḍeyya vā chaḍḍāpeyya vā, pācittiyaṃ.	9. Throwing Waste (Crop): Should any bhikkhunī throw feces/urine/trash on living crops... it is to be confessed.	If she disposes of it after having looked; if she disposes of it at the edge of the field; if she disposes of it after asking and getting permission from the owners; if she is insane; if she is the first offender		Applicable to Bhikkhu as dukkata offences				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
275.0	BNI-PC10	Vin.4.258-4.345	Nuns		Naccagīta	Dancing and Singing	Pacittiya	Confession	Offense/ wrong doing		1 Garlic	1 Lasuṇavaggo	Discipline	Improper	Self restraint	Laity	Naccagīta: Yā pana bhikkhunī naccaṃ vā gītaṃ vā vāditaṃ vā dassanāya gaccheyya, pācittiyaṃ.	10. Dancing/Singing: Should any bhikkhunī go to see dancing, singing, or music... it is to be confessed.	If she sees it or hears it while remaining in the monastery; if the dancing, singing, or music comes to the place where the nun is standing, sitting, or lying down; if she sees it or hears it while walking in the opposite direction; if she goes there because there is something to be done and she then sees it or hears it; if there is an emergency; if she is insane; if she is the first offender		Applicable to Bhikkhu as dukkata offences				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
276.0	BNI-PC11	Vin.4.258-4.345	Nuns		Rattandhakāra	Dark of the Night	Pacittiya	Confession	Offense/ wrong doing		2 Darkness	2 Rattandhakāravaggo	Celibacy	Improper	Self restraint	Bhikkhunis	Rattandhakāra: Yā pana bhikkhunī rattandhakāre appadīpe bhikkhunā saddhiṃ ekena ekā santiṭṭheyya vā sallapeyya vā, pācittiyaṃ.	11. Standing in Dark (Monk): Should any bhikkhunī stand or talk with a monk alone in the dark... it is to be confessed.	If she has a companion who understands; if she is not seeking privacy; if she stands or talks thinking of something else; if she is insane; if she is the first offender						https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
277.0	BNI-PC12	Vin.4.258-4.345	Nuns		Paṭicchannokāsa	Concealed Places	Pacittiya	Confession	Offense/ wrong doing		2 Darkness	2 Rattandhakāravaggo	Celibacy	Improper	Self restraint	Bhikkhunis	Paṭicchanna: Yā pana bhikkhunī paṭicchanne okāse bhikkhunā saddhiṃ ekena ekā santiṭṭheyya vā sallapeyya vā, pācittiyaṃ.	12. Secluded Place (Monk): Should any bhikkhunī stand or talk with a monk alone in a concealed place... it is to be confessed.	If she has a companion who understands; if she is not seeking privacy; if she stands or talks thinking of something else; if she is insane; if she is the first offender						https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
278.0	BNI-PC13	Vin.4.258-4.345	Nuns		Ajjhokāsasallapana	Talking In the Open	Pacittiya	Confession	Offense/ wrong doing		2 Darkness	2 Rattandhakāravaggo	Celibacy	Improper	Self restraint	Bhikkhunis	Ajjhokāsa: Yā pana bhikkhunī ajjhokāse bhikkhunā saddhiṃ ekena ekā santiṭṭheyya vā sallapeyya vā, pācittiyaṃ.	13. Open Air (Monk): Should any bhikkhunī stand or talk with a monk alone in the open air... it is to be confessed.	If she has a companion who understands; if she is not seeking privacy; if she stands or talks thinking of something else; if she is insane; if she is the first offender						https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
279.0	BNI-PC14	Vin.4.258-4.345	Nuns		Dutiyikauyyojana	Dismissing a Companion	Pacittiya	Confession	Offense/ wrong doing		2 Darkness	2 Rattandhakāravaggo	Celibacy	Improper	Self restraint	Bhikkhunis	Rathikā: Yā pana bhikkhunī rathikāya vā byūhe vā siṅghāṭake vā bhikkhunā saddhiṃ ekena ekā santiṭṭheyya vā sallapeyya vā... pācittiyaṃ.	14. On a Road (Monk): Should any bhikkhunī stand or talk with a monk alone on a road or cul-de-sac... it is to be confessed.	If she has a companion who understands; if she is not seeking privacy; if she stands or talks thinking of something else; if she does not want to misbehave; if she dismisses her companion nun when there is something to be doneif she is insane; if she is the first offender						https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
280.0	BNI-PC15	Vin.4.258-4.345	Nuns		Anāpucchāpakkamana	Departing Without Taking Leave	Pacittiya	Confession	Offense/ wrong doing		2 Darkness	2 Rattandhakāravaggo	Harmony	Manners	Faith foster	Laity	Kula-upagamana: Yā pana bhikkhunī kulasūpagatā kulesu... asāmike anāpucchā nikkhameyya, pācittiyaṃ.	15. Leaving Before Master: Should any bhikkhunī leave a family home without asking the owner, after entering... it is to be confessed.	If she departs after informing someone; if the seat is not movable; if she is sick; if there is an emergency; if she is insane; if she is the first offender		Departs without informing the owners: if, without informing a person who understands in that family, she goes beyond the roof cover of that house, she commits an offense entailing confession. If it is out in the open and she goes beyond the vicinity of the seat, she commits an offense entailing confession				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
281.0	BNI-PC16	Vin.4.258-4.345	Nuns		Anāpucchāabhinisīdana	Sitting Without Permission	Pacittiya	Confession	Offense/ wrong doing		2 Darkness	2 Rattandhakāravaggo	Harmony	Manners	Faith foster	Laity	Kula-nikkhamana: Yā pana bhikkhunī kulasūpagatā kulesu... asāmike anāpucchā vikāle nikkhameyya, pācittiyaṃ.	16. Leaving at Night: Should any bhikkhunī leave a family home at the wrong time (night) without asking... it is to be confessed.	If she sits down or lies down after asking permission; if a dedicated seat is permanently ready for her; if she is sick; if there is an emergency; if she is insane; if she is the first offender		A seat: a place for sitting cross-legged is what is meant				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
282.0	BNI-PC17	Vin.4.258-4.345	Nuns		Anāpucchāsantharaṇa	Laying Bedding Without Permission	Pacittiya	Confession	Offense/ wrong doing		2 Darkness	2 Rattandhakāravaggo	Harmony	Laying down	Faith foster	Laity	Kula-sayana: Yā pana bhikkhunī kulasūpagatā kulesu... asāmike anāpucchā āsane nisīdeyya vā seyyaṃ vā kappeyya, pācittiyaṃ.	17. Sleeping in Family House: Should any bhikkhunī enter a family house and sit or lie down without asking the owner... it is to be confessed.	If she first asks permission, and then, after putting out bedding or having it put out, sits down or lies down on it; if she is sick; if there is an emergency; if she is insane; if she is the first offender		Bedding: even a spread of leaves				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
283.0	BNI-PC18	Vin.4.258-4.345	Nuns		Paraujjhāpanaka	Complaining About Others	Pacittiya	Confession	Offense/ wrong doing		2 Darkness	2 Rattandhakāravaggo	Speech	Speech wrong	Sangha harmony	Bhikkhunis	Anokāsa: Yā pana bhikkhunī... akkataññū aññāya vā, pācittiyaṃ.	18. Misunderstanding: Should any bhikkhunī teach the Dhamma without analyzing the meaning/text... it is to be confessed.	If she is insane; if she is the first offender						https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
284.0	BNI-PC19	Vin.4.258-4.345	Nuns		Paraabhisapana	Cursing Another	Pacittiya	Confession	Offense/ wrong doing		2 Darkness	2 Rattandhakāravaggo	Speech	Speech wrong	Sangha harmony	Bhikkhunis	Abhisapanā: Yā pana bhikkhunī attānaṃ vā paraṃ vā nirayena vā... abhisapeyya, pācittiyaṃ.	19. Cursing: Should any bhikkhunī curse herself or others with hell or darkness... it is to be confessed.	If she is aiming at something beneficial; if she is aiming at giving a teaching; if she is aiming at giving an instruction; if she is insane; if she is the first offender		Applicable to Bhikkhu as dukkata offences. If she curses someone who is not fully ordained, she commits an offense of wrong conduct				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
